date    ,name           ,long.         
01.01.1900,Jupiter        , 241.1359432
01.01.1900,Saturn         , 267.7168085
01.01.1900,Uranus         , 250.1392952
01.01.1900,Neptune        , 85.2186529
01.01.1900,Pluto          , 75.2514785
15.01.1900,Jupiter        , 243.7502571
15.01.1900,Saturn         , 269.3100381
15.01.1900,Uranus         , 250.8695354
15.01.1900,Neptune        , 84.8585561
15.01.1900,Pluto          , 75.0285576
29.01.1900,Jupiter        , 246.0693745
29.01.1900,Saturn         , 270.7987496
29.01.1900,Uranus         , 251.4915389
29.01.1900,Neptune        , 84.5586855
29.01.1900,Pluto          , 74.8540381
12.02.1900,Jupiter        , 248.0142771
12.02.1900,Saturn         , 272.1313881
12.02.1900,Uranus         , 251.9779387
12.02.1900,Neptune        , 84.3428277
12.02.1900,Pluto          , 74.7406838
26.02.1900,Jupiter        , 249.5082471
26.02.1900,Saturn         , 273.2593965
26.02.1900,Uranus         , 252.3078259
26.02.1900,Neptune        , 84.2273224
26.02.1900,Pluto          , 74.6962161
12.03.1900,Jupiter        , 250.4766823
12.03.1900,Saturn         , 274.1384116
12.03.1900,Uranus         , 252.4675001
12.03.1900,Neptune        , 84.2216300
12.03.1900,Pluto          , 74.7242614
26.03.1900,Jupiter        , 250.8636728
26.03.1900,Saturn         , 274.7321488
26.03.1900,Uranus         , 252.4533539
26.03.1900,Neptune        , 84.3270455
26.03.1900,Pluto          , 74.8232465
09.04.1900,Jupiter        , 250.6397080
09.04.1900,Saturn         , 275.0145496
09.04.1900,Uranus         , 252.2716515
09.04.1900,Neptune        , 84.5389899
09.04.1900,Pluto          , 74.9882230
23.04.1900,Jupiter        , 249.8287608
23.04.1900,Saturn         , 274.9761014
23.04.1900,Uranus         , 251.9407873
23.04.1900,Neptune        , 84.8465666
23.04.1900,Pluto          , 75.2102198
07.05.1900,Jupiter        , 248.5162469
07.05.1900,Saturn         , 274.6259810
07.05.1900,Uranus         , 251.4888734
07.05.1900,Neptune        , 85.2354455
07.05.1900,Pluto          , 75.4783491
21.05.1900,Jupiter        , 246.8653437
21.05.1900,Saturn         , 273.9987102
21.05.1900,Uranus         , 250.9543530
21.05.1900,Neptune        , 85.6874109
21.05.1900,Pluto          , 75.7792425
04.06.1900,Jupiter        , 245.0909265
04.06.1900,Saturn         , 273.1518789
04.06.1900,Uranus         , 250.3807442
04.06.1900,Neptune        , 86.1830473
04.06.1900,Pluto          , 76.0990127
18.06.1900,Jupiter        , 243.4352982
18.06.1900,Saturn         , 272.1676207
18.06.1900,Uranus         , 249.8157188
18.06.1900,Neptune        , 86.7009551
18.06.1900,Pluto          , 76.4226250
02.07.1900,Jupiter        , 242.1104793
02.07.1900,Saturn         , 271.1408630
02.07.1900,Uranus         , 249.3042411
02.07.1900,Neptune        , 87.2199715
02.07.1900,Pluto          , 76.7356697
16.07.1900,Jupiter        , 241.2763726
16.07.1900,Saturn         , 270.1737560
16.07.1900,Uranus         , 248.8879123
16.07.1900,Neptune        , 87.7184134
16.07.1900,Pluto          , 77.0236251
30.07.1900,Jupiter        , 241.0154038
30.07.1900,Saturn         , 269.3584412
30.07.1900,Uranus         , 248.5989749
30.07.1900,Neptune        , 88.1759346
30.07.1900,Pluto          , 77.2735543
13.08.1900,Jupiter        , 241.3523357
13.08.1900,Saturn         , 268.7728696
13.08.1900,Uranus         , 248.4616769
13.08.1900,Neptune        , 88.5726645
13.08.1900,Pluto          , 77.4734590
27.08.1900,Jupiter        , 242.2600069
27.08.1900,Saturn         , 268.4689411
27.08.1900,Uranus         , 248.4884830
27.08.1900,Neptune        , 88.8915834
27.08.1900,Pluto          , 77.6139881
10.09.1900,Jupiter        , 243.6888419
10.09.1900,Saturn         , 268.4769299
10.09.1900,Uranus         , 248.6834053
10.09.1900,Neptune        , 89.1176264
10.09.1900,Pluto          , 77.6878647
24.09.1900,Jupiter        , 245.5705681
24.09.1900,Saturn         , 268.8015785
24.09.1900,Uranus         , 249.0399147
24.09.1900,Neptune        , 89.2405169
24.09.1900,Pluto          , 77.6916845
08.10.1900,Jupiter        , 247.8371554
08.10.1900,Saturn         , 269.4318773
08.10.1900,Uranus         , 249.5450157
08.10.1900,Neptune        , 89.2540173
08.10.1900,Pluto          , 77.6252501
22.10.1900,Jupiter        , 250.4164216
22.10.1900,Saturn         , 270.3399012
22.10.1900,Uranus         , 250.1778259
22.10.1900,Neptune        , 89.1589430
22.10.1900,Pluto          , 77.4932265
05.11.1900,Jupiter        , 253.2427923
05.11.1900,Saturn         , 271.4903796
05.11.1900,Uranus         , 250.9134482
05.11.1900,Neptune        , 88.9620539
05.11.1900,Pluto          , 77.3040196
19.11.1900,Jupiter        , 256.2492954
19.11.1900,Saturn         , 272.8386374
19.11.1900,Uranus         , 251.7217044
19.11.1900,Neptune        , 88.6784290
19.11.1900,Pluto          , 77.0708341
03.12.1900,Jupiter        , 259.3749888
03.12.1900,Saturn         , 274.3381201
03.12.1900,Uranus         , 252.5706416
03.12.1900,Neptune        , 88.3290844
03.12.1900,Pluto          , 76.8097282
17.12.1900,Jupiter        , 262.5561906
17.12.1900,Saturn         , 275.9370532
17.12.1900,Uranus         , 253.4251814
17.12.1900,Neptune        , 87.9417205
17.12.1900,Pluto          , 76.5397547
31.12.1900,Jupiter        , 265.7332965
31.12.1900,Saturn         , 277.5843727
31.12.1900,Uranus         , 254.2509760
31.12.1900,Neptune        , 87.5466461
31.12.1900,Pluto          , 76.2803008
14.01.1901,Jupiter        , 268.8416730
14.01.1901,Saturn         , 279.2262122
14.01.1901,Uranus         , 255.0130139
14.01.1901,Neptune        , 87.1759210
14.01.1901,Pluto          , 76.0505788
28.01.1901,Jupiter        , 271.8185923
28.01.1901,Saturn         , 280.8105636
28.01.1901,Uranus         , 255.6793632
28.01.1901,Neptune        , 86.8587091
28.01.1901,Pluto          , 75.8670639
11.02.1901,Jupiter        , 274.5947467
11.02.1901,Saturn         , 282.2840554
11.02.1901,Uranus         , 256.2207338
11.02.1901,Neptune        , 86.6202710
11.02.1901,Pluto          , 75.7430756
